representative	member
raXP_015974316.2	['raXP_015974316.2', 'pgXP_039711716.1', 'mmXP_036176132.1', 'phXP_045709671.1', 'drXP_053775118.1', 'moXP_036110009.1', 'moXP_036110009.1', 'sbXP_066088922.1', 'phXP_045709671.1', 'rfXP_032967925.1', 'rfXP_032967925.1', 'pdXP_028365476.2', 'pdXP_028365476.2', 'raXP_015974313.2', 'raXP_015974314.2', 'raXP_015974315.2', 'raXP_015974316.2', 'drXP_053775118.1', 'pkXP_036277909.1', 'mdXP_059559338.1', 'paXP_006906843.1', 'pkXP_036277909.1', 'mdXP_059559338.1', 'paXP_006906843.1', 'sbXP_066088922.1', 'pgXP_039711715.1', 'raXP_015974313.2', 'mmXP_036176132.1', 'pgXP_039711716.1', 'raXP_015974314.2', 'pgXP_039711715.1', 'raXP_015974315.2', 'mlXP_023615229.1', 'mbXP_014386495.1', 'mbXP_014386495.1', 'mlXP_023615229.1', 'pvXP_023388706.1', 'pvXP_023388706.1', 'ajXP_053521476.1', 'ajXP_053521476.1', 'ajXP_053521524.1', 'ajXP_053521524.1', 'pnCAK6448293.1', 'pnCAK6448293.1', 'efXP_054578969.1', 'efXP_054578969.1']
raXP_015991587.2	['raXP_015991587.2']
raXP_036075015.1	['raXP_036075015.1', 'raXP_016013114.2', 'raXP_036075004.1', 'ajXP_053520990.1', 'pdXP_035880208.1', 'efXP_054578326.1', 'phXP_045699139.1', 'mdXP_059555618.1', 'pnCAK6446849.1', 'sbXP_066109085.1', 'mlXP_023610074.1', 'drXP_045040812.2', 'pvXP_011359498.1', 'paXP_006926878.1', 'pgXP_039709001.1', 'rfXP_032958565.1', 'mbXP_014402895.1', 'mmXP_036174167.1', 'pkXP_036270794.1', 'moXP_036104645.1']
raXP_036087594.1	['raXP_036087594.1', 'ajXP_037005598.2', 'phXP_045714377.1', 'pnCAK6440943.1', 'ajXP_037005599.2', 'mdXP_059546175.1', 'pgXP_039706963.1', 'phXP_045714378.1', 'raXP_036087596.1', 'ajXP_053516695.1', 'pgXP_039706964.1', 'phXP_045714377.1', 'raXP_016002719.1', 'rfXP_032971736.1', 'ajXP_053516696.1', 'pgXP_039706963.1', 'pgXP_039706965.1', 'phXP_045714378.1', 'rfXP_032971737.1', 'ajXP_053516697.1', 'pgXP_039706964.1', 'rfXP_032971738.1', 'efXP_028015794.2', 'mlXP_023614316.1', 'pgXP_039706965.1', 'pnCAK6440943.1', 'rfXP_032971736.1', 'pdXP_035881666.1', 'pkXP_036301376.1', 'rfXP_032971737.1', 'pdXP_028369979.2', 'rfXP_032971738.1', 'mlXP_023614316.1', 'paXP_024897190.1', 'pdXP_035881666.1', 'ajXP_037005598.2', 'paXP_024897190.1', 'pdXP_028369979.2', 'sbXP_066125753.1', 'ajXP_037005599.2', 'drXP_053776909.1', 'efXP_028015794.2', 'pvXP_023385139.1', 'sbXP_066125754.1', 'ajXP_053516695.1', 'drXP_053776910.1', 'sbXP_066125752.1', 'ajXP_053516696.1', 'drXP_053776909.1', 'mdXP_059546175.1', 'pvXP_011356281.1', 'ajXP_053516697.1', 'drXP_053776910.1', 'pvXP_011356281.1', 'drXP_053776911.1', 'pkXP_036301376.1', 'rfXP_032971739.1', 'rfXP_032971740.1', 'sbXP_066125753.1', 'moXP_036113218.1', 'sbXP_066125754.1', 'mmXP_036208615.1', 'moXP_036113218.1', 'sbXP_066125752.1', 'mmXP_036208615.1', 'raXP_036087596.1', 'mbXP_005868649.1', 'raXP_016002719.1', 'mbXP_005868649.1', 'raXP_036087594.1']
rfXP_032944783.1	['rfXP_032944783.1', 'pgXP_039733959.1', 'raXP_015989164.2', 'pgXP_039733960.1', 'paXP_024902704.1', 'mbXP_005876211.1', 'mlXP_014307916.1', 'mdXP_059568376.1', 'mdXP_059568378.1', 'mmXP_036183978.1', 'mmXP_036183979.1', 'pdXP_035866190.1', 'pdXP_035866189.1', 'phXP_045683884.1', 'moXP_036103072.1', 'ajXP_036992580.2', 'efXP_054582148.1', 'pkXP_045434364.1', 'pkXP_036285239.1', 'pkXP_036285240.1', 'drXP_024432934.2', 'pnCAK6434516.1', 'sbXP_066096222.1', 'pvXP_011362935.1']
rfXP_032950182.1	['rfXP_032950182.1', 'mdXP_059561071.1', 'raXP_015989097.2', 'phXP_045689457.1', 'pnCAK6447260.1', 'moXP_036101454.1', 'mmXP_036179440.1', 'rfXP_032950183.1', 'enKAK1337093.1', 'rfXP_032950184.1', 'sbXP_066091693.1', 'mbXP_005885637.1', 'drXP_053782154.1', 'ajXP_037009460.2', 'efXP_008155333.1']
rfXP_032978214.1	['rfXP_032978214.1', 'pgXP_039723541.1', 'sbXP_066111823.1', 'moXP_036117568.1', 'raXP_015984270.2', 'paXP_024906958.1', 'efXP_054582845.1', 'phXP_045701979.1', 'drXP_053775060.1', 'ajXP_053523694.1', 'pnCAK6433472.1', 'pkXP_036272876.2', 'mmXP_036185062.1', 'mdXP_059514457.1', 'pvXP_023376824.1']
rfXP_032990934.1	['rfXP_032990934.1', 'raXP_016008923.2', 'sbXP_066128790.1', 'ajXP_036983216.2', 'mbXP_014389463.1', 'pkXP_036315571.1', 'mdXP_059552865.1', 'drXP_045048476.2', 'efXP_054573426.1', 'pnCAK6445543.1', 'pdXP_028376799.2', 'phXP_045708840.1', 'mmXP_036170325.1', 'enKAK1342790.1', 'pgXP_039729194.1', 'paXP_006905960.1', 'pvXP_023379166.1', 'moXP_036097228.1']
sbXP_066100865.1	['sbXP_066100865.1', 'sbXP_066100865.1', 'raXP_015995747.2', 'rfXP_032987384.1', 'pgXP_039693038.1', 'paXP_006907315.1', 'pgXP_039693039.1', 'pvXP_011383332.1', 'moXP_036123051.1', 'mlXP_023605283.1', 'efXP_008151482.2', 'mbXP_005863660.1', 'mmXP_036188539.1', 'mdXP_059519974.1']
sbXP_066115246.1	['sbXP_066115246.1', 'drXP_045052603.1', 'mmXP_036206158.1', 'raXP_036094007.1', 'mmXP_036206159.1', 'efXP_008143866.1', 'mdXP_059542708.1', 'mdXP_059542709.1', 'phXP_045708392.1', 'moXP_036099573.1', 'phXP_045708393.1', 'ajXP_037014054.2', 'sbXP_066115248.1', 'ajXP_037014053.2', 'mbXP_005878984.1', 'pkXP_036301499.1', 'raXP_036094006.1', 'efXP_008143865.1', 'pnCAK6442005.1', 'pdXP_028359441.1', 'pdXP_028359444.1', 'rfXP_032986514.1', 'rfXP_032986524.1', 'pkXP_036301498.1', 'drXP_024418278.1', 'mlXP_023601736.1', 'pgXP_039735734.1', 'paXP_015453119.1']
